index,reduction,perturbation_type,control_task,layer,metric_mean,metric_std,metric_count
0,full,distract,NONE,0,0.10436432156711813,0.05151067285705424,20
1,full,distract,NONE,1,0.10626665167510504,0.04610435476956791,20
2,full,distract,NONE,2,0.1084007373079657,0.050744461110738215,20
3,full,distract,NONE,3,0.10553259570151563,0.044876663640237936,20
4,full,distract,NONE,4,0.1102098004892468,0.047336685844845676,20
5,full,distract,NONE,5,0.10612963177263732,0.04082205478801806,20
6,full,distract,NONE,6,0.11638762950897215,0.047291795799377506,20
7,full,distract,NONE,7,0.11081218495965002,0.0420727944042804,20
8,full,distract,NONE,8,0.11068407427519555,0.042646634569643384,20
9,full,distract,NONE,9,0.11271468624472614,0.0466904466628277,20
10,full,distract,NONE,10,0.11188272982835767,0.044264556894792896,20
11,full,distract,NONE,11,0.1133267298340797,0.044095797248554044,20
12,full,distract,NONE,12,0.11601669378578658,0.048521500672391325,20
13,full,distract,NONE,13,0.116769827902317,0.04426962373649852,20
14,full,distract,NONE,14,0.1158133994787931,0.04155672497055075,20
15,full,distract,NONE,15,0.12162641081959005,0.04280442030957533,20
16,full,distract,NONE,16,0.12607596106827254,0.04883176751563463,20
17,full,distract,NONE,17,0.12230849377810951,0.0410229315622204,20
18,full,distract,NONE,18,0.12472240477800364,0.04380045828780791,20
19,full,distract,NONE,19,0.12790319398045535,0.03977604723672788,20
20,full,distract,NONE,20,0.14155365191400046,0.04555289520640367,20
21,full,distract,NONE,21,0.1575464460998773,0.05028968298807833,20
22,full,distract,NONE,22,0.17623788602650162,0.056700196764142195,20
23,full,distract,NONE,23,0.18702587336301799,0.07162789792298223,20
24,full,distract,NONE,24,1.448463222384453,0.5619492455292837,20
25,full,distract,RANDOMIZATION,0,0.1052505942061543,0.05107943961523692,20
26,full,distract,RANDOMIZATION,1,0.10626494903117414,0.04661518833450523,20
27,full,distract,RANDOMIZATION,2,0.10741912741214033,0.04772510138178416,20
28,full,distract,RANDOMIZATION,3,0.10717162098735566,0.04601202217847534,20
29,full,distract,RANDOMIZATION,4,0.10864770077168937,0.04537007009968377,20
30,full,distract,RANDOMIZATION,5,0.10637200139462943,0.04564251637257932,20
31,full,distract,RANDOMIZATION,6,0.11289477739483114,0.05162349155527322,20
32,full,distract,RANDOMIZATION,7,0.11283094659447665,0.0447197782103685,20
33,full,distract,RANDOMIZATION,8,0.1122164892032742,0.04922262329702235,20
34,full,distract,RANDOMIZATION,9,0.11262948522344227,0.04763595807563889,20
35,full,distract,RANDOMIZATION,10,0.11121337283402677,0.04817603360336937,20
36,full,distract,RANDOMIZATION,11,0.11072795335203404,0.04396131140177321,20
37,full,distract,RANDOMIZATION,12,0.11495249252766367,0.05125868656825927,20
38,full,distract,RANDOMIZATION,13,0.11673080027103419,0.04912562334945954,20
39,full,distract,RANDOMIZATION,14,0.11783525943756099,0.055092300286599546,20
40,full,distract,RANDOMIZATION,15,0.12309757433831688,0.051937113576958,20
41,full,distract,RANDOMIZATION,16,0.12793628033250565,0.0599583754112248,20
42,full,distract,RANDOMIZATION,17,0.12099320944398637,0.05374334428933932,20
43,full,distract,RANDOMIZATION,18,0.12474725525826214,0.058594923761899,20
44,full,distract,RANDOMIZATION,19,0.130998164974153,0.055706036745965776,20
45,full,distract,RANDOMIZATION,20,0.15001727491617198,0.054528676973434456,20
46,full,distract,RANDOMIZATION,21,0.15545010082423683,0.07001698012645997,20
47,full,distract,RANDOMIZATION,22,0.17383055090904231,0.07619427836591622,20
48,full,distract,RANDOMIZATION,23,0.19750017076730725,0.08332523524032917,20
49,full,distract,RANDOMIZATION,24,1.4655571341514588,0.6301758902274454,20
50,full,domain,NONE,0,0.15805168822407717,0.04125392462863973,20
51,full,domain,NONE,1,0.15870544388890265,0.04418814325084662,20
52,full,domain,NONE,2,0.15819004401564593,0.05521513670738651,20
53,full,domain,NONE,3,0.16434465833008285,0.058772490034670166,20
54,full,domain,NONE,4,0.15694113969802853,0.06883426001277665,20
55,full,domain,NONE,5,0.16361021846532817,0.06123103156280812,20
56,full,domain,NONE,6,0.16070687063038344,0.0678467470621209,20
57,full,domain,NONE,7,0.16151423752307886,0.06022082060206796,20
58,full,domain,NONE,8,0.16030307598412033,0.0681121996679637,20
59,full,domain,NONE,9,0.16191894374787802,0.05617191633996967,20
60,full,domain,NONE,10,0.1529818873852491,0.058306342472408255,20
61,full,domain,NONE,11,0.14825939722359177,0.06236105026538616,20
62,full,domain,NONE,12,0.15340285561978814,0.0620345191612646,20
63,full,domain,NONE,13,0.15310119874775405,0.06853008608199299,20
64,full,domain,NONE,14,0.15621017329394812,0.07111959561891952,20
65,full,domain,NONE,15,0.16024929210543631,0.06994399147191899,20
66,full,domain,NONE,16,0.15901932194828983,0.07514788095386325,20
67,full,domain,NONE,17,0.16335284747183318,0.07046144582306366,20
68,full,domain,NONE,18,0.14110730849206443,0.053333312442194004,20
69,full,domain,NONE,19,0.1493175216019153,0.05785916541300339,20
70,full,domain,NONE,20,0.16838788054883475,0.06277836570655768,20
71,full,domain,NONE,21,0.22168357931077476,0.08389917259435423,20
72,full,domain,NONE,22,0.25412993244826787,0.15061005240738046,20
73,full,domain,NONE,23,0.2803887452930212,0.15692780659399025,20
74,full,domain,NONE,24,2.0477219104766844,1.1168799958432447,20
75,full,domain,RANDOMIZATION,0,0.15836607515811918,0.04119291480331013,20
76,full,domain,RANDOMIZATION,1,0.15794499889016148,0.04421464642939599,20
77,full,domain,RANDOMIZATION,2,0.1614555850625038,0.053411348751242135,20
78,full,domain,RANDOMIZATION,3,0.1664121817797422,0.056410979137348015,20
79,full,domain,RANDOMIZATION,4,0.16993078254163263,0.07019970789615981,20
80,full,domain,RANDOMIZATION,5,0.16696874648332594,0.05909483331054907,20
81,full,domain,RANDOMIZATION,6,0.16346428319811818,0.06606147840595893,20
82,full,domain,RANDOMIZATION,7,0.1664560321718454,0.0590771203459392,20
83,full,domain,RANDOMIZATION,8,0.16289612390100952,0.058753752800084665,20
84,full,domain,RANDOMIZATION,9,0.1633676942437887,0.05830179652805558,20
85,full,domain,RANDOMIZATION,10,0.1643999051302671,0.05823864977871276,20
86,full,domain,RANDOMIZATION,11,0.16201156005263323,0.05659150577245555,20
87,full,domain,RANDOMIZATION,12,0.16576570272445673,0.060043860110183506,20
88,full,domain,RANDOMIZATION,13,0.15846883095800873,0.055639717724322794,20
89,full,domain,RANDOMIZATION,14,0.16894326508045193,0.07008358230717983,20
90,full,domain,RANDOMIZATION,15,0.1728217542171478,0.07779271086461079,20
91,full,domain,RANDOMIZATION,16,0.1702117810025811,0.08149902260038763,20
92,full,domain,RANDOMIZATION,17,0.1795301780104637,0.07920706597945787,20
93,full,domain,RANDOMIZATION,18,0.184929072484374,0.06455908156507491,20
94,full,domain,RANDOMIZATION,19,0.18957839682698246,0.062114938055401234,20
95,full,domain,RANDOMIZATION,20,0.20719188712537284,0.10404343528764542,20
96,full,domain,RANDOMIZATION,21,0.23116942234337326,0.10394415063383207,20
97,full,domain,RANDOMIZATION,22,0.26744358427822584,0.15921318060929635,20
98,full,domain,RANDOMIZATION,23,0.28176042959094044,0.14301170505373137,20
99,full,domain,RANDOMIZATION,24,1.9663786858320236,0.8714806568996188,20
100,full,rename,NONE,0,0.024990178511961825,0.04040964253846272,20
101,full,rename,NONE,1,0.025058028582134233,0.039800691182822756,20
102,full,rename,NONE,2,0.025869732435967276,0.03960552910441631,20
103,full,rename,NONE,3,0.02504879341468037,0.03842758734534641,20
104,full,rename,NONE,4,0.02543282346741757,0.038075715502010304,20
105,full,rename,NONE,5,0.028385632852587113,0.0396985152018731,20
106,full,rename,NONE,6,0.02825447095310659,0.039116501395639734,20
107,full,rename,NONE,7,0.028985246148658873,0.037799796721227415,20
108,full,rename,NONE,8,0.0300157050864072,0.03909527837943979,20
109,full,rename,NONE,9,0.029143636365188234,0.03947132901424107,20
110,full,rename,NONE,10,0.029017776934779204,0.03975452523912775,20
111,full,rename,NONE,11,0.028724785023950934,0.0399155826325749,20
112,full,rename,NONE,12,0.026812618895200962,0.03710147933557015,20
113,full,rename,NONE,13,0.02686288651602803,0.03985904407495361,20
114,full,rename,NONE,14,0.029733005739399188,0.04096773952411955,20
115,full,rename,NONE,15,0.029439534834818877,0.03745989039495253,20
116,full,rename,NONE,16,0.030977977917063932,0.04238941502831521,20
117,full,rename,NONE,17,0.03201676051830867,0.04015813965061397,20
118,full,rename,NONE,18,0.03627774745691563,0.039640829401661914,20
119,full,rename,NONE,19,0.04066594070754941,0.04141174184493404,20
120,full,rename,NONE,20,0.05002374220639462,0.03789646592200908,20
121,full,rename,NONE,21,0.06892375820316371,0.047011830987816625,20
122,full,rename,NONE,22,0.09020092124119397,0.04595827817721882,20
123,full,rename,NONE,23,0.09726530816406007,0.04095291484329604,20
124,full,rename,NONE,24,1.5150565445423125,0.5421123581720575,20
125,full,rename,RANDOMIZATION,0,0.025035380381632378,0.04045041964745014,20
126,full,rename,RANDOMIZATION,1,0.025443742930656238,0.040397838452633686,20
127,full,rename,RANDOMIZATION,2,0.0260428017514641,0.0401624677480537,20
128,full,rename,RANDOMIZATION,3,0.026178654755494746,0.040169115980814164,20
129,full,rename,RANDOMIZATION,4,0.026446554009089546,0.040003077911461675,20
130,full,rename,RANDOMIZATION,5,0.02834167399414577,0.040028326792577014,20
131,full,rename,RANDOMIZATION,6,0.028579487102251694,0.03960731163993266,20
132,full,rename,RANDOMIZATION,7,0.02978848311613543,0.040309979589016935,20
133,full,rename,RANDOMIZATION,8,0.03029692390264239,0.040139008410814574,20
134,full,rename,RANDOMIZATION,9,0.02889554994471833,0.03981291089521329,20
135,full,rename,RANDOMIZATION,10,0.028853496711235438,0.039505945203542114,20
136,full,rename,RANDOMIZATION,11,0.02805328142130742,0.03889740199681405,20
137,full,rename,RANDOMIZATION,12,0.027634860141551996,0.03830137366133773,20
138,full,rename,RANDOMIZATION,13,0.0269457113317912,0.04052235450615836,20
139,full,rename,RANDOMIZATION,14,0.028475028026150477,0.038833415624319294,20
140,full,rename,RANDOMIZATION,15,0.030092488793888993,0.03746019347073893,20
141,full,rename,RANDOMIZATION,16,0.031060967256780654,0.0379860842323596,20
142,full,rename,RANDOMIZATION,17,0.03012678701779799,0.03523050997449899,20
143,full,rename,RANDOMIZATION,18,0.03435041256016115,0.03601549637154314,20
144,full,rename,RANDOMIZATION,19,0.03542941098567093,0.036801836507507055,20
145,full,rename,RANDOMIZATION,20,0.04932703133672472,0.04376248005881384,20
146,full,rename,RANDOMIZATION,21,0.06506523271091279,0.051135083638378286,20
147,full,rename,RANDOMIZATION,22,0.088310176692903,0.05669936855551018,20
148,full,rename,RANDOMIZATION,23,0.0923119723796844,0.054724897693748435,20
149,full,rename,RANDOMIZATION,24,1.5140584081411361,0.5472349639011885,20
150,full,rephrase,NONE,0,0.04389873664185865,0.048826819919753,20
151,full,rephrase,NONE,1,0.04395222933380861,0.048162356470136065,20
