index,reduction,perturbation_type,control_task,layer,metric_mean,metric_std,metric_count
0,full,distract,NONE,0,-0.013034231960773496,0.27233773060179683,2
1,full,distract,NONE,1,0.17530751097947359,0.3172479308852867,20
2,full,distract,NONE,2,0.18830401599407195,0.27760612592523043,20
3,full,distract,NONE,3,0.20157490018755198,0.3051219130743764,20
4,full,distract,NONE,4,0.17125171655789018,0.3204965992959164,20
5,full,distract,NONE,5,0.10411136068869382,0.30359607993050713,20
6,full,distract,NONE,6,0.11456845495849848,0.29285818906310124,20
7,full,distract,NONE,7,0.10876374244689942,0.24322815788969734,20
8,full,distract,NONE,8,0.10138449817895889,0.21898880201901122,20
9,full,distract,NONE,9,0.030444607604294998,0.20634899540546853,20
10,full,distract,NONE,10,0.0768715113401413,0.2476252851252176,20
11,full,distract,NONE,11,0.06665618969127532,0.2641830893359721,20
12,full,distract,NONE,12,0.07926084920763968,0.22120835406626566,20
13,full,distract,NONE,13,0.11222664145752785,0.23414939368711776,20
14,full,distract,NONE,14,0.02977386405691505,0.2541272971732733,20
15,full,distract,NONE,15,-0.006519337464123959,0.25997085429287475,20
16,full,distract,NONE,16,0.00946101909503341,0.2652512847155183,20
17,full,distract,NONE,17,0.004103988048154863,0.31955361696775747,20
18,full,distract,NONE,18,0.0057371533475816415,0.30400442062668076,20
19,full,distract,NONE,19,0.07734867273829876,0.268304911895307,20
20,full,distract,NONE,20,0.026283761451486493,0.2230636174717756,20
21,full,distract,NONE,21,0.005341782048344628,0.21585382299478537,20
22,full,distract,NONE,22,0.03271909439936279,0.23732677353731368,20
23,full,distract,NONE,23,0.038846103579271596,0.229202343880021,20
24,full,distract,NONE,24,0.02225392931140958,0.23570009806507744,20
25,full,distract,RANDOMIZATION,0,0.022181532637347023,0.03841954317959018,3
26,full,distract,RANDOMIZATION,1,0.010767055116593838,0.2456319259131134,20
27,full,distract,RANDOMIZATION,2,-0.004749612137675296,0.2376777356081984,20
28,full,distract,RANDOMIZATION,3,-0.07657816964201629,0.21654554472726711,20
29,full,distract,RANDOMIZATION,4,-0.03831970933824778,0.29168003799910364,20
30,full,distract,RANDOMIZATION,5,-0.020060046389698966,0.244369228766865,20
31,full,distract,RANDOMIZATION,6,0.011396802100352947,0.21415329391369847,20
32,full,distract,RANDOMIZATION,7,-0.010118459910154321,0.3223807110911927,20
33,full,distract,RANDOMIZATION,8,0.030835743434727204,0.2705750661291299,20
34,full,distract,RANDOMIZATION,9,0.04891648348420857,0.21149520646498096,20
35,full,distract,RANDOMIZATION,10,0.03130966676399112,0.20106762985849067,20
36,full,distract,RANDOMIZATION,11,0.023788962699472904,0.21409734409893935,20
37,full,distract,RANDOMIZATION,12,0.026115953270345927,0.21909616779086694,20
38,full,distract,RANDOMIZATION,13,0.03100234642624855,0.2426346473321437,20
39,full,distract,RANDOMIZATION,14,0.08947511538863182,0.22161399528280845,20
40,full,distract,RANDOMIZATION,15,0.0024489137867931346,0.25859877756562655,20
41,full,distract,RANDOMIZATION,16,0.021114172693341968,0.27076265090607143,20
42,full,distract,RANDOMIZATION,17,0.05892230519093574,0.23235716927403716,20
43,full,distract,RANDOMIZATION,18,0.02109377020969987,0.23333658408240718,20
44,full,distract,RANDOMIZATION,19,0.026839935593306996,0.23434946588872135,20
